Mod:Item:MetaData, Localized Name
gregtech:gt.blockmachines:49, gt.blockmachines.hatch.energy.tier.09.name
gregtech:gt.blockmachines:50, gt.blockmachines.hatch.input.tier.00.name
gregtech:gt.blockmachines:51, gt.blockmachines.hatch.input.tier.01.name
gregtech:gt.blockmachines:52, gt.blockmachines.hatch.input.tier.02.name
gregtech:gt.blockmachines:53, gt.blockmachines.hatch.input.tier.03.name
gregtech:gt.blockmachines:54, gt.blockmachines.hatch.input.tier.04.name
gregtech:gt.blockmachines:55, gt.blockmachines.hatch.input.tier.05.name
gregtech:gt.blockmachines:56, gt.blockmachines.hatch.input.tier.06.name
gregtech:gt.blockmachines:57, gt.blockmachines.hatch.input.tier.07.name
gregtech:gt.blockmachines:58, gt.blockmachines.hatch.input.tier.08.name
gregtech:gt.blockmachines:59, gt.blockmachines.hatch.input.tier.09.name
gregtech:gt.blockmachines:60, gt.blockmachines.hatch.output.tier.00.name
gregtech:gt.blockmachines:61, gt.blockmachines.hatch.output.tier.01.name
gregtech:gt.blockmachines:62, gt.blockmachines.hatch.output.tier.02.name
gregtech:gt.blockmachines:63, gt.blockmachines.hatch.output.tier.03.name
gregtech:gt.blockmachines:64, gt.blockmachines.hatch.output.tier.04.name
gregtech:gt.blockmachines:65, gt.blockmachines.hatch.output.tier.05.name
gregtech:gt.blockmachines:66, gt.blockmachines.hatch.output.tier.06.name
gregtech:gt.blockmachines:67, gt.blockmachines.hatch.output.tier.07.name
gregtech:gt.blockmachines:68, gt.blockmachines.hatch.output.tier.08.name
gregtech:gt.blockmachines:69, gt.blockmachines.hatch.output.tier.09.name
gregtech:gt.blockmachines:70, gt.blockmachines.hatch.input_bus.tier.00.name
gregtech:gt.blockmachines:71, gt.blockmachines.hatch.input_bus.tier.01.name
gregtech:gt.blockmachines:72, gt.blockmachines.hatch.input_bus.tier.02.name
gregtech:gt.blockmachines:73, gt.blockmachines.hatch.input_bus.tier.03.name
gregtech:gt.blockmachines:74, gt.blockmachines.hatch.input_bus.tier.04.name
gregtech:gt.blockmachines:75, gt.blockmachines.hatch.input_bus.tier.05.name
gregtech:gt.blockmachines:76, gt.blockmachines.hatch.input_bus.tier.06.name
gregtech:gt.blockmachines:77, gt.blockmachines.hatch.input_bus.tier.07.name
gregtech:gt.blockmachines:78, gt.blockmachines.hatch.input_bus.tier.08.name
gregtech:gt.blockmachines:79, gt.blockmachines.hatch.input_bus.tier.09.name
gregtech:gt.blockmachines:80, gt.blockmachines.hatch.output_bus.tier.00.name
gregtech:gt.blockmachines:81, gt.blockmachines.hatch.output_bus.tier.01.name
gregtech:gt.blockmachines:82, gt.blockmachines.hatch.output_bus.tier.02.name
gregtech:gt.blockmachines:83, gt.blockmachines.hatch.output_bus.tier.03.name
gregtech:gt.blockmachines:84, gt.blockmachines.hatch.output_bus.tier.04.name
gregtech:gt.blockmachines:85, gt.blockmachines.hatch.output_bus.tier.05.name
gregtech:gt.blockmachines:86, gt.blockmachines.hatch.output_bus.tier.06.name
gregtech:gt.blockmachines:87, gt.blockmachines.hatch.output_bus.tier.07.name
gregtech:gt.blockmachines:88, gt.blockmachines.hatch.output_bus.tier.08.name
gregtech:gt.blockmachines:89, gt.blockmachines.hatch.output_bus.tier.09.name
gregtech:gt.blockmachines:90, gt.blockmachines.hatch.maintenance.name
gregtech:gt.blockmachines:91, gt.blockmachines.hatch.muffler.tier.01.name
gregtech:gt.blockmachines:92, gt.blockmachines.hatch.muffler.tier.02.name
gregtech:gt.blockmachines:93, gt.blockmachines.hatch.muffler.tier.03.name
gregtech:gt.blockmachines:94, gt.blockmachines.hatch.muffler.tier.04.name
gregtech:gt.blockmachines:95, gt.blockmachines.hatch.muffler.tier.05.name
gregtech:gt.blockmachines:96, gt.blockmachines.hatch.muffler.tier.06.name
gregtech:gt.blockmachines:97, gt.blockmachines.hatch.muffler.tier.07.name
gregtech:gt.blockmachines:98, gt.blockmachines.hatch.muffler.tier.08.name
gregtech:gt.blockmachines:99, gt.blockmachines.hatch.muffler.tier.09.name
gregtech:gt.blockmachines:100, gt.blockmachines.boiler.bronze.name
gregtech:gt.blockmachines:101, gt.blockmachines.boiler.steel.name
gregtech:gt.blockmachines:102, gt.blockmachines.boiler.lava.name
gregtech:gt.blockmachines:103, gt.blockmachines.bronzemachine.furnace.name
gregtech:gt.blockmachines:104, gt.blockmachines.steelmachine.furnace.name
gregtech:gt.blockmachines:105, gt.blockmachines.boiler.solar.name
gregtech:gt.blockmachines:106, gt.blockmachines.bronzemachine.macerator.name
gregtech:gt.blockmachines:107, gt.blockmachines.steelmachine.macerator.name
gregtech:gt.blockmachines:108, gt.blockmachines.bronzemachine.blastfurnace.name
gregtech:gt.blockmachines:109, gt.blockmachines.bronzemachine.extractor.name
gregtech:gt.blockmachines:110, gt.blockmachines.steelmachine.extractor.name
gregtech:gt.blockmachines:112, gt.blockmachines.bronzemachine.hammer.name
gregtech:gt.blockmachines:113, gt.blockmachines.steelmachine.hammer.name
gregtech:gt.blockmachines:115, gt.blockmachines.bronzemachine.compressor.name
gregtech:gt.blockmachines:116, gt.blockmachines.steelmachine.compressor.name
gregtech:gt.blockmachines:118, gt.blockmachines.bronzemachine.alloysmelter.name
gregtech:gt.blockmachines:119, gt.blockmachines.steelmachine.alloysmelter.name
gregtech:gt.blockmachines:120, gt.blockmachines.quantum.tank.tier.01.name
gregtech:gt.blockmachines:121, gt.blockmachines.quantum.tank.tier.02.name
gregtech:gt.blockmachines:122, gt.blockmachines.quantum.tank.tier.03.name
gregtech:gt.blockmachines:123, gt.blockmachines.quantum.tank.tier.04.name
gregtech:gt.blockmachines:124, gt.blockmachines.quantum.tank.tier.05.name
gregtech:gt.blockmachines:125, gt.blockmachines.quantum.chest.tier.01.name
gregtech:gt.blockmachines:126, gt.blockmachines.quantum.chest.tier.02.name
gregtech:gt.blockmachines:127, gt.blockmachines.quantum.chest.tier.03.name
gregtech:gt.blockmachines:128, gt.blockmachines.quantum.chest.tier.04.name
gregtech:gt.blockmachines:129, gt.blockmachines.quantum.chest.tier.05.name
gregtech:gt.blockmachines:150, gt.blockmachines.locker.tier.00.name
gregtech:gt.blockmachines:151, gt.blockmachines.locker.tier.01.name
gregtech:gt.blockmachines:152, gt.blockmachines.locker.tier.02.name
gregtech:gt.blockmachines:153, gt.blockmachines.locker.tier.03.name
gregtech:gt.blockmachines:154, gt.blockmachines.locker.tier.04.name
gregtech:gt.blockmachines:155, gt.blockmachines.locker.tier.05.name
gregtech:gt.blockmachines:156, gt.blockmachines.locker.tier.06.name
gregtech:gt.blockmachines:157, gt.blockmachines.locker.tier.07.name
gregtech:gt.blockmachines:158, gt.blockmachines.locker.tier.08.name
gregtech:gt.blockmachines:159, gt.blockmachines.locker.tier.09.name
gregtech:gt.blockmachines:160, gt.blockmachines.batterybuffer.01.tier.00.name
gregtech:gt.blockmachines:161, gt.blockmachines.batterybuffer.01.tier.01.name
gregtech:gt.blockmachines:162, gt.blockmachines.batterybuffer.01.tier.02.name
gregtech:gt.blockmachines:163, gt.blockmachines.batterybuffer.01.tier.03.name
gregtech:gt.blockmachines:164, gt.blockmachines.batterybuffer.01.tier.04.name
gregtech:gt.blockmachines:165, gt.blockmachines.batterybuffer.01.tier.05.name
gregtech:gt.blockmachines:166, gt.blockmachines.batterybuffer.01.tier.06.name
gregtech:gt.blockmachines:167, gt.blockmachines.batterybuffer.01.tier.07.name
gregtech:gt.blockmachines:168, gt.blockmachines.batterybuffer.01.tier.08.name
gregtech:gt.blockmachines:169, gt.blockmachines.batterybuffer.01.tier.09.name
gregtech:gt.blockmachines:170, gt.blockmachines.batterybuffer.04.tier.00.name
gregtech:gt.blockmachines:171, gt.blockmachines.batterybuffer.04.tier.01.name
gregtech:gt.blockmachines:172, gt.blockmachines.batterybuffer.04.tier.02.name
gregtech:gt.blockmachines:173, gt.blockmachines.batterybuffer.04.tier.03.name
gregtech:gt.blockmachines:174, gt.blockmachines.batterybuffer.04.tier.04.name
gregtech:gt.blockmachines:175, gt.blockmachines.batterybuffer.04.tier.05.name
gregtech:gt.blockmachines:176, gt.blockmachines.batterybuffer.04.tier.06.name
gregtech:gt.blockmachines:177, gt.blockmachines.batterybuffer.04.tier.07.name
gregtech:gt.blockmachines:178, gt.blockmachines.batterybuffer.04.tier.08.name
gregtech:gt.blockmachines:179, gt.blockmachines.batterybuffer.04.tier.09.name
gregtech:gt.blockmachines:180, gt.blockmachines.batterybuffer.09.tier.00.name
gregtech:gt.blockmachines:181, gt.blockmachines.batterybuffer.09.tier.01.name
gregtech:gt.blockmachines:182, gt.blockmachines.batterybuffer.09.tier.02.name
gregtech:gt.blockmachines:183, gt.blockmachines.batterybuffer.09.tier.03.name
gregtech:gt.blockmachines:184, gt.blockmachines.batterybuffer.09.tier.04.name
gregtech:gt.blockmachines:185, gt.blockmachines.batterybuffer.09.tier.05.name
gregtech:gt.blockmachines:186, gt.blockmachines.batterybuffer.09.tier.06.name
gregtech:gt.blockmachines:187, gt.blockmachines.batterybuffer.09.tier.07.name
gregtech:gt.blockmachines:188, gt.blockmachines.batterybuffer.09.tier.08.name
gregtech:gt.blockmachines:189, gt.blockmachines.batterybuffer.09.tier.09.name
gregtech:gt.blockmachines:190, gt.blockmachines.batterybuffer.16.tier.00.name
gregtech:gt.blockmachines:191, gt.blockmachines.batterybuffer.16.tier.01.name
gregtech:gt.blockmachines:192, gt.blockmachines.batterybuffer.16.tier.02.name
gregtech:gt.blockmachines:193, gt.blockmachines.batterybuffer.16.tier.03.name
gregtech:gt.blockmachines:194, gt.blockmachines.batterybuffer.16.tier.04.name
gregtech:gt.blockmachines:195, gt.blockmachines.batterybuffer.16.tier.05.name
gregtech:gt.blockmachines:196, gt.blockmachines.batterybuffer.16.tier.06.name
gregtech:gt.blockmachines:197, gt.blockmachines.batterybuffer.16.tier.07.name
gregtech:gt.blockmachines:198, gt.blockmachines.batterybuffer.16.tier.08.name
gregtech:gt.blockmachines:199, gt.blockmachines.batterybuffer.16.tier.09.name
gregtech:gt.blockmachines:201, gt.blockmachines.basicmachine.alloysmelter.tier.01.name
gregtech:gt.blockmachines:202, gt.blockmachines.basicmachine.alloysmelter.tier.02.name
gregtech:gt.blockmachines:203, gt.blockmachines.basicmachine.alloysmelter.tier.03.name
gregtech:gt.blockmachines:204, gt.blockmachines.basicmachine.alloysmelter.tier.04.name
gregtech:gt.blockmachines:205, gt.blockmachines.basicmachine.alloysmelter.tier.05.name
gregtech:gt.blockmachines:211, gt.blockmachines.basicmachine.assembler.tier.01.name
gregtech:gt.blockmachines:212, gt.blockmachines.basicmachine.assembler.tier.02.name
gregtech:gt.blockmachines:213, gt.blockmachines.basicmachine.assembler.tier.03.name
gregtech:gt.blockmachines:214, gt.blockmachines.basicmachine.assembler.tier.04.name
gregtech:gt.blockmachines:215, gt.blockmachines.basicmachine.assembler.tier.05.name
gregtech:gt.blockmachines:221, gt.blockmachines.basicmachine.bender.tier.01.name
gregtech:gt.blockmachines:222, gt.blockmachines.basicmachine.bender.tier.02.name
gregtech:gt.blockmachines:223, gt.blockmachines.basicmachine.bender.tier.03.name
gregtech:gt.blockmachines:224, gt.blockmachines.basicmachine.bender.tier.04.name
gregtech:gt.blockmachines:225, gt.blockmachines.basicmachine.bender.tier.05.name
gregtech:gt.blockmachines:231, gt.blockmachines.basicmachine.canner.tier.01.name
gregtech:gt.blockmachines:232, gt.blockmachines.basicmachine.canner.tier.02.name
gregtech:gt.blockmachines:233, gt.blockmachines.basicmachine.canner.tier.03.name
gregtech:gt.blockmachines:234, gt.blockmachines.basicmachine.canner.tier.04.name
gregtech:gt.blockmachines:235, gt.blockmachines.basicmachine.canner.tier.05.name
gregtech:gt.blockmachines:241, gt.blockmachines.basicmachine.compressor.tier.01.name
gregtech:gt.blockmachines:242, gt.blockmachines.basicmachine.compressor.tier.02.name
gregtech:gt.blockmachines:243, gt.blockmachines.basicmachine.compressor.tier.03.name
gregtech:gt.blockmachines:244, gt.blockmachines.basicmachine.compressor.tier.04.name
gregtech:gt.blockmachines:245, gt.blockmachines.basicmachine.compressor.tier.05.name
gregtech:gt.blockmachines:251, gt.blockmachines.basicmachine.cutter.tier.01.name
gregtech:gt.blockmachines:252, gt.blockmachines.basicmachine.cutter.tier.02.name
gregtech:gt.blockmachines:253, gt.blockmachines.basicmachine.cutter.tier.03.name
gregtech:gt.blockmachines:254, gt.blockmachines.basicmachine.cutter.tier.04.name
gregtech:gt.blockmachines:255, gt.blockmachines.basicmachine.cutter.tier.05.name
gregtech:gt.blockmachines:261, gt.blockmachines.basicmachine.e_furnace.tier.01.name
gregtech:gt.blockmachines:262, gt.blockmachines.basicmachine.e_furnace.tier.02.name
gregtech:gt.blockmachines:263, gt.blockmachines.basicmachine.e_furnace.tier.03.name
gregtech:gt.blockmachines:264, gt.blockmachines.basicmachine.e_furnace.tier.04.name
gregtech:gt.blockmachines:265, gt.blockmachines.basicmachine.e_furnace.tier.05.name
gregtech:gt.blockmachines:271, gt.blockmachines.basicmachine.extractor.tier.01.name
gregtech:gt.blockmachines:272, gt.blockmachines.basicmachine.extractor.tier.02.name
gregtech:gt.blockmachines:273, gt.blockmachines.basicmachine.extractor.tier.03.name
gregtech:gt.blockmachines:274, gt.blockmachines.basicmachine.extractor.tier.04.name
gregtech:gt.blockmachines:275, gt.blockmachines.basicmachine.extractor.tier.05.name
gregtech:gt.blockmachines:281, gt.blockmachines.basicmachine.extruder.tier.01.name
gregtech:gt.blockmachines:282, gt.blockmachines.basicmachine.extruder.tier.02.name
gregtech:gt.blockmachines:283, gt.blockmachines.basicmachine.extruder.tier.03.name
gregtech:gt.blockmachines:284, gt.blockmachines.basicmachine.extruder.tier.04.name
gregtech:gt.blockmachines:285, gt.blockmachines.basicmachine.extruder.tier.05.name
gregtech:gt.blockmachines:291, gt.blockmachines.basicmachine.lathe.tier.01.name
gregtech:gt.blockmachines:292, gt.blockmachines.basicmachine.lathe.tier.02.name
gregtech:gt.blockmachines:293, gt.blockmachines.basicmachine.lathe.tier.03.name
gregtech:gt.blockmachines:294, gt.blockmachines.basicmachine.lathe.tier.04.name
gregtech:gt.blockmachines:295, gt.blockmachines.basicmachine.lathe.tier.05.name
gregtech:gt.blockmachines:301, gt.blockmachines.basicmachine.macerator.tier.01.name
gregtech:gt.blockmachines:302, gt.blockmachines.basicmachine.macerator.tier.02.name
gregtech:gt.blockmachines:303, gt.blockmachines.basicmachine.macerator.tier.03.name
gregtech:gt.blockmachines:304, gt.blockmachines.basicmachine.macerator.tier.04.name
gregtech:gt.blockmachines:305, gt.blockmachines.basicmachine.macerator.tier.05.name
gregtech:gt.blockmachines:311, gt.blockmachines.basicmachine.microwave.tier.01.name
gregtech:gt.blockmachines:312, gt.blockmachines.basicmachine.microwave.tier.02.name
gregtech:gt.blockmachines:313, gt.blockmachines.basicmachine.microwave.tier.03.name
gregtech:gt.blockmachines:314, gt.blockmachines.basicmachine.microwave.tier.04.name
gregtech:gt.blockmachines:315, gt.blockmachines.basicmachine.microwave.tier.05.name
gregtech:gt.blockmachines:321, gt.blockmachines.basicmachine.printer.tier.01.name
gregtech:gt.blockmachines:322, gt.blockmachines.basicmachine.printer.tier.02.name
gregtech:gt.blockmachines:323, gt.blockmachines.basicmachine.printer.tier.03.name
gregtech:gt.blockmachines:324, gt.blockmachines.basicmachine.printer.tier.04.name
gregtech:gt.blockmachines:325, gt.blockmachines.basicmachine.printer.tier.05.name
gregtech:gt.blockmachines:331, gt.blockmachines.basicmachine.recycler.tier.01.name
gregtech:gt.blockmachines:332, gt.blockmachines.basicmachine.recycler.tier.02.name
gregtech:gt.blockmachines:333, gt.blockmachines.basicmachine.recycler.tier.03.name
gregtech:gt.blockmachines:334, gt.blockmachines.basicmachine.recycler.tier.04.name
gregtech:gt.blockmachines:335, gt.blockmachines.basicmachine.recycler.tier.05.name
gregtech:gt.blockmachines:341, gt.blockmachines.basicmachine.scanner.tier.01.name
gregtech:gt.blockmachines:342, gt.blockmachines.basicmachine.scanner.tier.02.name
gregtech:gt.blockmachines:343, gt.blockmachines.basicmachine.scanner.tier.03.name
gregtech:gt.blockmachines:344, gt.blockmachines.basicmachine.scanner.tier.04.name
gregtech:gt.blockmachines:345, gt.blockmachines.basicmachine.scanner.tier.05.name
gregtech:gt.blockmachines:351, gt.blockmachines.basicmachine.wiremill.tier.01.name
gregtech:gt.blockmachines:352, gt.blockmachines.basicmachine.wiremill.tier.02.name
gregtech:gt.blockmachines:353, gt.blockmachines.basicmachine.wiremill.tier.03.name
gregtech:gt.blockmachines:354, gt.blockmachines.basicmachine.wiremill.tier.04.name
gregtech:gt.blockmachines:355, gt.blockmachines.basicmachine.wiremill.tier.05.name
gregtech:gt.blockmachines:361, gt.blockmachines.basicmachine.centrifuge.tier.01.name
gregtech:gt.blockmachines:362, gt.blockmachines.basicmachine.centrifuge.tier.02.name
gregtech:gt.blockmachines:363, gt.blockmachines.basicmachine.centrifuge.tier.03.name
gregtech:gt.blockmachines:364, gt.blockmachines.basicmachine.centrifuge.tier.04.name
gregtech:gt.blockmachines:365, gt.blockmachines.basicmachine.centrifuge.tier.05.name
gregtech:gt.blockmachines:371, gt.blockmachines.basicmachine.electrolyzer.tier.01.name
gregtech:gt.blockmachines:372, gt.blockmachines.basicmachine.electrolyzer.tier.02.name
gregtech:gt.blockmachines:373, gt.blockmachines.basicmachine.electrolyzer.tier.03.name
gregtech:gt.blockmachines:374, gt.blockmachines.basicmachine.electrolyzer.tier.04.name
gregtech:gt.blockmachines:375, gt.blockmachines.basicmachine.electrolyzer.tier.05.name
gregtech:gt.blockmachines:381, gt.blockmachines.basicmachine.thermalcentrifuge.tier.01.name
gregtech:gt.blockmachines:382, gt.blockmachines.basicmachine.thermalcentrifuge.tier.02.name
gregtech:gt.blockmachines:383, gt.blockmachines.basicmachine.thermalcentrifuge.tier.03.name
gregtech:gt.blockmachines:384, gt.blockmachines.basicmachine.thermalcentrifuge.tier.04.name
gregtech:gt.blockmachines:385, gt.blockmachines.basicmachine.thermalcentrifuge.tier.05.name
gregtech:gt.blockmachines:391, gt.blockmachines.basicmachine.orewasher.tier.01.name
gregtech:gt.blockmachines:392, gt.blockmachines.basicmachine.orewasher.tier.02.name
gregtech:gt.blockmachines:393, gt.blockmachines.basicmachine.orewasher.tier.03.name
gregtech:gt.blockmachines:394, gt.blockmachines.basicmachine.orewasher.tier.04.name
gregtech:gt.blockmachines:395, gt.blockmachines.basicmachine.orewasher.tier.05.name
gregtech:gt.blockmachines:401, gt.blockmachines.basicmachine.boxinator.tier.01.name
gregtech:gt.blockmachines:402, gt.blockmachines.basicmachine.boxinator.tier.02.name
gregtech:gt.blockmachines:403, gt.blockmachines.basicmachine.boxinator.tier.03.name
gregtech:gt.blockmachines:404, gt.blockmachines.basicmachine.boxinator.tier.04.name
gregtech:gt.blockmachines:405, gt.blockmachines.basicmachine.boxinator.tier.05.name
gregtech:gt.blockmachines:411, gt.blockmachines.basicmachine.unboxinator.tier.01.name
gregtech:gt.blockmachines:412, gt.blockmachines.basicmachine.unboxinator.tier.02.name
gregtech:gt.blockmachines:413, gt.blockmachines.basicmachine.unboxinator.tier.03.name
gregtech:gt.blockmachines:414, gt.blockmachines.basicmachine.unboxinator.tier.04.name
gregtech:gt.blockmachines:415, gt.blockmachines.basicmachine.unboxinator.tier.05.name
gregtech:gt.blockmachines:421, gt.blockmachines.basicmachine.chemicalreactor.tier.01.name
gregtech:gt.blockmachines:422, gt.blockmachines.basicmachine.chemicalreactor.tier.02.name
gregtech:gt.blockmachines:423, gt.blockmachines.basicmachine.chemicalreactor.tier.03.name
gregtech:gt.blockmachines:424, gt.blockmachines.basicmachine.chemicalreactor.tier.04.name
gregtech:gt.blockmachines:425, gt.blockmachines.basicmachine.chemicalreactor.tier.05.name
gregtech:gt.blockmachines:431, gt.blockmachines.basicmachine.fluidcanner.tier.01.name
gregtech:gt.blockmachines:432, gt.blockmachines.basicmachine.fluidcanner.tier.02.name
gregtech:gt.blockmachines:433, gt.blockmachines.basicmachine.fluidcanner.tier.03.name
gregtech:gt.blockmachines:434, gt.blockmachines.basicmachine.fluidcanner.tier.04.name
gregtech:gt.blockmachines:435, gt.blockmachines.basicmachine.fluidcanner.tier.05.name
gregtech:gt.blockmachines:441, gt.blockmachines.basicmachine.rockbreaker.tier.01.name
gregtech:gt.blockmachines:442, gt.blockmachines.basicmachine.rockbreaker.tier.02.name
gregtech:gt.blockmachines:443, gt.blockmachines.basicmachine.rockbreaker.tier.03.name
gregtech:gt.blockmachines:444, gt.blockmachines.basicmachine.rockbreaker.tier.04.name
gregtech:gt.blockmachines:445, gt.blockmachines.basicmachine.rockbreaker.tier.05.name
gregtech:gt.blockmachines:451, gt.blockmachines.basicmachine.disassembler.tier.01.name
gregtech:gt.blockmachines:452, gt.blockmachines.basicmachine.disassembler.tier.02.name
gregtech:gt.blockmachines:453, gt.blockmachines.basicmachine.disassembler.tier.03.name
gregtech:gt.blockmachines:454, gt.blockmachines.basicmachine.disassembler.tier.04.name
gregtech:gt.blockmachines:455, gt.blockmachines.basicmachine.disassembler.tier.05.name
gregtech:gt.blockmachines:461, gt.blockmachines.basicmachine.massfab.tier.01.name
gregtech:gt.blockmachines:462, gt.blockmachines.basicmachine.massfab.tier.02.name
gregtech:gt.blockmachines:463, gt.blockmachines.basicmachine.massfab.tier.03.name
gregtech:gt.blockmachines:464, gt.blockmachines.basicmachine.massfab.tier.04.name
gregtech:gt.blockmachines:465, gt.blockmachines.basicmachine.massfab.tier.05.name
gregtech:gt.blockmachines:471, gt.blockmachines.basicmachine.amplifab.tier.01.name
gregtech:gt.blockmachines:472, gt.blockmachines.basicmachine.amplifab.tier.02.name
gregtech:gt.blockmachines:473, gt.blockmachines.basicmachine.amplifab.tier.03.name
gregtech:gt.blockmachines:474, gt.blockmachines.basicmachine.amplifab.tier.04.name
gregtech:gt.blockmachines:475, gt.blockmachines.basicmachine.amplifab.tier.05.name
gregtech:gt.blockmachines:481, gt.blockmachines.basicmachine.replicator.tier.01.name
gregtech:gt.blockmachines:482, gt.blockmachines.basicmachine.replicator.tier.02.name
gregtech:gt.blockmachines:483, gt.blockmachines.basicmachine.replicator.tier.03.name
gregtech:gt.blockmachines:484, gt.blockmachines.basicmachine.replicator.tier.04.name
gregtech:gt.blockmachines:485, gt.blockmachines.basicmachine.replicator.tier.05.name
gregtech:gt.blockmachines:491, gt.blockmachines.basicmachine.brewery.tier.01.name
gregtech:gt.blockmachines:492, gt.blockmachines.basicmachine.brewery.tier.02.name
gregtech:gt.blockmachines:493, gt.blockmachines.basicmachine.brewery.tier.03.name
gregtech:gt.blockmachines:494, gt.blockmachines.basicmachine.brewery.tier.04.name
gregtech:gt.blockmachines:495, gt.blockmachines.basicmachine.brewery.tier.05.name
gregtech:gt.blockmachines:501, gt.blockmachines.basicmachine.fermenter.tier.01.name
gregtech:gt.blockmachines:502, gt.blockmachines.basicmachine.fermenter.tier.02.name
gregtech:gt.blockmachines:503, gt.blockmachines.basicmachine.fermenter.tier.03.name
gregtech:gt.blockmachines:504, gt.blockmachines.basicmachine.fermenter.tier.04.name
gregtech:gt.blockmachines:505, gt.blockmachines.basicmachine.fermenter.tier.05.name
gregtech:gt.blockmachines:511, gt.blockmachines.basicmachine.fluidextractor.tier.01.name
gregtech:gt.blockmachines:512, gt.blockmachines.basicmachine.fluidextractor.tier.02.name
gregtech:gt.blockmachines:513, gt.blockmachines.basicmachine.fluidextractor.tier.03.name
gregtech:gt.blockmachines:514, gt.blockmachines.basicmachine.fluidextractor.tier.04.name
gregtech:gt.blockmachines:515, gt.blockmachines.basicmachine.fluidextractor.tier.05.name
gregtech:gt.blockmachines:521, gt.blockmachines.basicmachine.fluidsolidifier.tier.01.name
gregtech:gt.blockmachines:522, gt.blockmachines.basicmachine.fluidsolidifier.tier.02.name
gregtech:gt.blockmachines:523, gt.blockmachines.basicmachine.fluidsolidifier.tier.03.name
gregtech:gt.blockmachines:524, gt.blockmachines.basicmachine.fluidsolidifier.tier.04.name
gregtech:gt.blockmachines:525, gt.blockmachines.basicmachine.fluidsolidifier.tier.05.name
gregtech:gt.blockmachines:531, gt.blockmachines.basicmachine.distillery.tier.01.name
gregtech:gt.blockmachines:532, gt.blockmachines.basicmachine.distillery.tier.02.name
gregtech:gt.blockmachines:533, gt.blockmachines.basicmachine.distillery.tier.03.name
gregtech:gt.blockmachines:534, gt.blockmachines.basicmachine.distillery.tier.04.name
gregtech:gt.blockmachines:535, gt.blockmachines.basicmachine.distillery.tier.05.name
gregtech:gt.blockmachines:541, gt.blockmachines.basicmachine.chemicalbath.tier.01.name
gregtech:gt.blockmachines:542, gt.blockmachines.basicmachine.chemicalbath.tier.02.name
gregtech:gt.blockmachines:543, gt.blockmachines.basicmachine.chemicalbath.tier.03.name
gregtech:gt.blockmachines:544, gt.blockmachines.basicmachine.chemicalbath.tier.04.name
gregtech:gt.blockmachines:545, gt.blockmachines.basicmachine.chemicalbath.tier.05.name
gregtech:gt.blockmachines:551, gt.blockmachines.basicmachine.polarizer.tier.01.name
gregtech:gt.blockmachines:552, gt.blockmachines.basicmachine.polarizer.tier.02.name
gregtech:gt.blockmachines:553, gt.blockmachines.basicmachine.polarizer.tier.03.name
gregtech:gt.blockmachines:554, gt.blockmachines.basicmachine.polarizer.tier.04.name
gregtech:gt.blockmachines:555, gt.blockmachines.basicmachine.polarizer.tier.05.name
gregtech:gt.blockmachines:561, gt.blockmachines.basicmachine.electromagneticseparator.tier.01.name
gregtech:gt.blockmachines:562, gt.blockmachines.basicmachine.electromagneticseparator.tier.02.name
gregtech:gt.blockmachines:563, gt.blockmachines.basicmachine.electromagneticseparator.tier.03.name
gregtech:gt.blockmachines:564, gt.blockmachines.basicmachine.electromagneticseparator.tier.04.name
gregtech:gt.blockmachines:565, gt.blockmachines.basicmachine.electromagneticseparator.tier.05.name
gregtech:gt.blockmachines:571, gt.blockmachines.basicmachine.autoclave.tier.01.name
gregtech:gt.blockmachines:572, gt.blockmachines.basicmachine.autoclave.tier.02.name
gregtech:gt.blockmachines:573, gt.blockmachines.basicmachine.autoclave.tier.03.name
gregtech:gt.blockmachines:574, gt.blockmachines.basicmachine.autoclave.tier.04.name
gregtech:gt.blockmachines:575, gt.blockmachines.basicmachine.autoclave.tier.05.name
gregtech:gt.blockmachines:581, gt.blockmachines.basicmachine.mixer.tier.01.name
gregtech:gt.blockmachines:582, gt.blockmachines.basicmachine.mixer.tier.02.name
gregtech:gt.blockmachines:583, gt.blockmachines.basicmachine.mixer.tier.03.name
gregtech:gt.blockmachines:584, gt.blockmachines.basicmachine.mixer.tier.04.name
gregtech:gt.blockmachines:585, gt.blockmachines.basicmachine.mixer.tier.05.name
gregtech:gt.blockmachines:591, gt.blockmachines.basicmachine.laserengraver.tier.01.name
gregtech:gt.blockmachines:592, gt.blockmachines.basicmachine.laserengraver.tier.02.name
gregtech:gt.blockmachines:593, gt.blockmachines.basicmachine.laserengraver.tier.03.name
gregtech:gt.blockmachines:594, gt.blockmachines.basicmachine.laserengraver.tier.04.name
gregtech:gt.blockmachines:595, gt.blockmachines.basicmachine.laserengraver.tier.05.name
gregtech:gt.blockmachines:601, gt.blockmachines.basicmachine.press.tier.01.name
gregtech:gt.blockmachines:602, gt.blockmachines.basicmachine.press.tier.02.name
gregtech:gt.blockmachines:603, gt.blockmachines.basicmachine.press.tier.03.name
gregtech:gt.blockmachines:604, gt.blockmachines.basicmachine.press.tier.04.name
gregtech:gt.blockmachines:605, gt.blockmachines.basicmachine.press.tier.05.name
gregtech:gt.blockmachines:611, gt.blockmachines.basicmachine.hammer.tier.01.name
gregtech:gt.blockmachines:612, gt.blockmachines.basicmachine.hammer.tier.02.name
